observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_468,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_575,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_591,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_1,263501,8334,4042,645,7451,2803,5707,4598,7283,2683,4118,3574,4565,5699,6630,5295,5560,2550,3372,1138,7345,2140,4169,2401,2451,2104,2182,2142,2436,1118,3347,5294,1120,6884,1841,1588,2585,1124,8878,3171,1603,1533,2978,2016,5027,1870,1696,11421,893,5143,1510,6639,1613,1432,5940,2400,998,1588,2772,1238,7425,1609,2700,5527,3038,1103,2981,2483,1843,5823,1649,1038,7464,2223,3292,2626
Cluster_2,41289,758,861,204,3182,118,1320,1631,621,671,1880,297,937,1561,392,725,1503,177,307,100,1105,286,674,68,248,339,377,216,221,86,367,683,77,1061,248,81,404,79,1499,628,177,177,434,236,706,111,196,838,65,412,161,1228,334,140,976,341,76,114,236,140,1381,182,268,1120,547,104,305,202,239,1246,299,163,1264,215,447,217
Cluster_3,38295,628,510,1,1324,1,445,578,313,254,449,164,267,552,235,530,395,79,461,0,1609,360,752,0,234,305,319,393,444,0,648,1092,0,1472,297,1,518,0,2301,670,203,108,573,315,1090,31,117,2099,20,298,0,1506,262,1,2050,255,0,34,124,1,2402,94,1,2222,361,1,199,112,1,1162,276,2,1987,852,768,167
Cluster_4,30562,528,650,43,869,93,852,580,487,245,299,139,446,670,271,566,471,73,581,67,1337,276,342,57,222,272,191,502,452,80,547,1045,63,1530,200,68,380,63,1731,189,213,90,400,162,567,54,77,2980,42,693,42,669,72,59,507,119,133,48,248,72,1306,81,66,720,109,130,298,222,82,600,63,52,496,765,490,358
Cluster_5,30770,100,97,17,185,9,213,542,205,72,388,46,191,678,188,178,626,39,188,33,272,231,321,25,102,301,142,1203,1229,58,607,399,54,271,301,174,592,17,425,401,113,306,479,301,299,29,366,4527,243,2468,97,512,269,83,341,687,86,454,1307,66,518,515,164,462,1003,94,1047,781,123,367,317,73,568,140,417,28
Cluster_6,15562,99,1325,1,151,15,606,223,1086,455,306,723,496,185,798,1256,212,500,1706,6,842,82,7,22,741,438,2,771,679,2,434,303,1,250,26,11,35,0,15,0,270,138,96,5,5,14,0,95,0,56,0,0,0,0,0,2,0,0,28,0,1,0,0,7,0,0,1,15,1,2,2,0,0,10,0,4
Cluster_7,14310,221,662,4,1954,3,244,423,90,181,453,66,153,321,115,709,391,43,553,7,1214,435,506,3,104,249,205,154,152,0,145,321,3,595,78,0,296,2,914,225,49,37,156,165,747,9,1,286,0,55,1,27,0,0,14,30,0,1,29,0,30,1,0,370,3,0,4,16,0,26,4,1,21,15,3,15
