observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_54,1483,222,70,2,62,57,91,21,111,23,28,34,45,24,118,78,13,26,25,5,19,6,8,36,16,8,9,27,8,1,9,5,0,7,2,29,0,0,3,0,3,2,2,0,3,21,1,52,0,73,1,2,0,0,0,1,5,2,16,0,1,0,2,0,1,2,0,18,0,1,0,0,4,3,1,18
Cluster_55,1614,132,12,0,12,0,41,20,59,14,21,18,50,37,54,22,29,18,12,1,23,4,22,0,31,21,12,16,10,0,27,16,0,25,21,0,15,0,11,15,18,18,26,15,26,34,10,51,7,79,1,37,14,0,23,16,0,9,41,0,42,15,2,27,29,0,24,25,1,42,13,0,42,13,49,44
Cluster_56,1322,33,36,2,29,10,57,40,39,57,37,29,68,39,35,49,33,17,46,4,33,10,28,5,31,30,18,15,12,7,26,12,1,12,12,5,14,3,13,5,12,10,20,2,3,6,5,34,2,21,4,20,12,3,16,10,2,5,20,2,19,4,0,17,19,1,10,6,4,15,9,3,25,8,13,8
Cluster_57,1249,37,11,5,45,9,14,13,9,6,38,9,12,28,10,3,24,10,13,5,16,10,14,3,9,4,21,20,20,6,12,25,2,28,2,8,12,1,14,5,10,11,9,3,14,6,5,117,1,26,8,58,23,18,73,3,8,14,12,3,36,3,7,14,17,11,19,4,9,58,9,2,72,13,15,5
Cluster_58,1305,14,11,2,28,4,16,18,16,11,15,4,25,23,10,10,12,6,9,6,37,3,25,1,4,6,19,6,8,3,11,28,6,41,7,2,19,2,58,73,4,8,15,19,21,3,15,20,2,7,1,28,8,8,69,36,2,5,7,5,43,15,29,89,42,1,11,4,1,37,18,7,105,4,14,3
Cluster_59,1237,82,63,2,169,4,73,51,32,23,40,17,43,47,28,46,38,10,19,1,66,10,17,0,11,6,11,5,6,2,12,20,0,33,4,0,4,0,28,6,3,1,3,2,26,7,0,23,0,10,0,22,0,0,10,2,1,1,5,1,23,2,2,12,1,0,5,0,2,15,0,0,17,1,5,6
Cluster_60,1179,26,20,0,34,2,21,8,21,20,17,13,22,16,27,32,18,8,19,1,36,24,33,0,18,32,19,24,24,2,34,30,0,25,14,2,15,0,45,21,10,10,33,11,52,5,2,48,1,20,0,24,4,1,19,8,1,0,13,1,29,0,1,79,8,0,5,7,1,16,4,1,25,4,4,9
Cluster_61,1148,124,50,0,20,18,99,26,91,42,35,36,80,32,61,33,32,27,31,3,16,5,4,9,26,9,5,12,10,0,8,3,0,8,0,13,1,0,4,1,4,0,2,2,1,7,0,41,0,39,1,6,0,1,4,0,2,0,13,1,4,2,1,3,1,2,2,8,1,2,3,1,2,6,3,9
Cluster_62,1034,89,43,5,73,10,66,22,54,22,23,26,69,25,41,44,41,21,33,0,25,1,0,8,59,8,0,1,0,1,4,10,4,57,8,7,8,2,45,4,0,4,11,7,32,11,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Cluster_63,1018,3,8,3,35,0,8,23,6,1,22,3,5,40,4,6,22,1,4,1,32,10,21,0,1,11,10,5,6,0,5,19,4,34,5,1,12,2,53,61,4,2,14,8,18,1,3,12,2,6,3,34,12,10,74,28,3,0,1,2,46,6,9,93,20,1,6,4,2,38,15,10,35,2,5,2
Cluster_64,962,78,61,1,34,4,40,8,50,26,15,22,46,9,56,47,7,18,54,0,19,3,2,3,26,10,2,25,8,0,9,15,0,14,2,4,3,0,16,2,3,2,2,2,5,6,1,62,0,29,0,4,0,0,5,3,0,0,14,0,9,2,0,10,3,5,0,6,0,5,0,1,10,21,1,12
Cluster_65,1155,111,13,1,65,2,81,38,77,23,53,16,72,69,70,18,67,17,5,0,23,16,31,1,26,6,16,4,2,0,6,11,0,9,3,0,2,0,16,1,1,2,2,6,11,17,0,6,0,43,0,0,0,0,1,11,0,1,20,0,1,5,0,26,0,1,3,8,0,1,3,0,0,2,1,12
Cluster_66,897,1,0,4,127,0,0,68,0,0,48,0,0,61,0,0,56,0,0,8,61,3,66,0,0,17,20,0,0,0,0,0,1,5,3,0,6,6,72,95,0,0,9,13,50,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,5,0,0,0,0
Cluster_67,948,9,17,0,23,0,12,3,9,4,5,6,9,3,10,16,5,7,24,0,100,6,7,0,10,5,3,19,18,0,12,64,0,79,6,0,9,1,44,5,3,1,6,2,20,1,1,101,1,11,0,51,1,0,14,0,0,3,5,0,49,0,0,26,0,0,3,5,0,53,1,0,24,9,4,3
Cluster_68,960,9,87,0,44,0,31,5,24,25,15,13,25,5,23,86,10,3,71,0,74,83,89,0,31,50,44,13,10,0,6,9,0,4,2,0,8,0,1,1,2,0,11,1,5,0,0,7,0,7,0,1,0,0,1,0,0,0,6,0,2,0,0,3,1,0,2,1,0,2,1,0,3,2,1,0
Cluster_69,850,0,1,0,8,0,3,0,0,3,2,1,0,5,0,0,3,0,1,0,11,8,8,0,0,3,14,0,0,0,1,1,0,9,6,0,85,3,323,68,1,0,15,8,54,0,32,0,0,0,0,9,2,0,4,24,0,0,0,0,9,22,0,85,2,0,0,0,1,5,1,1,6,0,2,0
Cluster_70,818,19,14,1,27,0,19,7,18,9,17,6,19,4,14,4,16,4,14,1,40,8,6,0,9,11,5,13,7,0,19,39,1,56,7,2,21,0,44,4,10,4,9,3,13,4,0,30,2,10,1,38,8,0,14,0,3,1,4,1,38,2,3,21,0,1,8,5,4,30,2,0,14,10,16,4
Cluster_71,804,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,20,4,0,1,0,0,0,1,0,0,1,11,1,58,0,0,15,0,151,0,0,0,0,0,71,0,0,4,0,0,0,20,0,0,27,0,0,0,0,1,82,0,0,286,0,0,0,0,0,13,0,2,22,1,0,0
Cluster_72,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,198,19,555,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster_73,814,9,6,0,14,0,11,5,7,6,25,2,8,18,9,8,14,9,6,0,9,2,13,0,3,4,6,10,7,0,7,6,0,10,4,0,15,0,27,68,2,5,13,4,20,2,9,25,2,9,0,28,2,0,22,34,1,0,10,0,19,11,1,109,33,0,5,2,1,12,10,0,47,7,17,4
Cluster_74,725,0,0,0,1,0,0,0,1,0,3,1,1,2,0,0,1,0,1,0,15,1,10,0,0,2,3,1,4,0,3,6,0,28,5,0,11,1,55,60,0,2,22,2,31,0,20,2,0,0,4,36,8,5,65,28,0,1,0,1,27,1,15,44,76,0,3,0,2,19,4,2,88,0,1,0
Cluster_75,714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,8,42,35,52,253,0,0,0,0,2,37,1,54,0,20,1,3,0,15,34,18,0,129,1,1,0
Cluster_76,711,41,2,0,17,0,36,51,27,11,42,13,30,60,12,2,63,6,3,1,14,5,32,0,8,18,21,2,1,0,10,7,1,6,4,0,1,0,12,15,3,1,13,4,2,7,6,0,2,8,0,8,1,0,1,15,0,1,7,0,7,4,0,12,8,0,2,7,3,3,1,1,3,1,3,3
Cluster_78,754,16,11,1,26,1,7,3,0,0,15,2,2,10,4,2,10,0,7,4,34,15,29,0,2,4,6,4,2,5,6,16,5,39,9,1,27,5,77,14,4,2,21,7,20,1,4,11,0,2,3,16,6,9,23,2,2,1,2,10,65,2,3,33,5,0,8,1,2,15,8,6,30,5,2,2
Cluster_79,692,96,16,1,11,7,25,6,23,5,7,12,9,5,29,16,3,8,12,3,11,2,3,18,8,10,1,8,9,3,8,8,2,15,1,12,4,1,2,3,0,2,1,1,3,9,0,73,0,34,2,6,1,0,0,1,18,1,15,0,8,2,5,2,1,10,3,18,3,12,0,1,5,12,9,11
Cluster_80,728,17,7,1,17,2,12,11,14,1,12,9,11,15,5,5,18,2,11,2,15,10,16,4,7,4,3,1,5,2,9,8,0,20,7,1,9,2,31,18,2,1,14,4,11,3,7,32,1,14,4,28,6,1,25,8,8,0,12,4,23,10,12,25,15,2,9,4,10,27,5,0,33,6,11,7
Cluster_81,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,595,0
Cluster_82,639,5,5,0,58,0,6,30,3,7,29,2,1,20,3,16,17,2,7,1,34,28,57,0,2,15,19,10,6,0,9,5,0,14,2,0,26,0,33,20,1,5,13,11,26,0,0,6,0,1,0,3,2,0,5,15,0,2,1,0,8,5,1,23,2,0,3,1,1,3,0,1,5,2,0,1
Cluster_83,632,26,3,1,12,2,4,15,11,6,6,5,9,18,5,8,18,6,4,2,25,4,16,2,4,5,8,1,4,2,10,9,3,14,7,0,12,3,18,8,3,2,12,7,9,4,10,23,2,5,0,15,7,5,18,12,2,6,4,2,25,15,4,16,9,1,11,4,4,15,7,0,23,3,21,10
Cluster_84,637,11,2,0,0,1,4,0,11,0,0,3,2,0,6,2,0,3,7,0,5,0,0,1,3,0,0,10,9,1,2,11,0,25,2,1,3,0,5,0,2,1,4,0,3,2,4,173,15,10,3,91,1,0,12,0,3,14,5,2,38,0,0,4,1,4,32,3,2,39,2,0,18,17,0,2
Cluster_85,631,9,6,0,6,0,3,9,4,5,14,4,7,8,4,5,19,2,9,2,3,3,17,0,7,13,6,5,7,0,11,6,0,6,7,0,10,0,12,24,6,6,17,3,7,2,6,22,3,11,0,16,15,2,20,16,0,4,9,0,32,12,2,39,23,0,10,2,2,12,11,1,31,16,15,5
Cluster_87,612,3,1,0,0,0,5,0,1,4,1,0,1,1,0,1,1,1,0,0,5,1,1,0,1,1,3,1,11,0,17,22,0,16,18,0,12,0,27,95,11,4,20,14,14,0,2,1,0,1,0,2,1,0,5,44,0,0,0,0,79,24,0,137,0,0,0,0,0,0,0,1,1,0,0,0
Cluster_88,580,5,33,9,106,4,28,27,4,22,51,7,19,17,3,28,25,2,2,0,40,11,4,1,1,5,1,2,3,1,6,5,1,10,2,0,8,0,10,1,3,2,2,4,3,0,0,6,0,2,0,4,1,0,6,2,0,1,2,0,10,0,0,9,1,0,2,3,0,6,1,1,2,1,2,0
Cluster_89,521,0,0,0,7,0,0,2,0,0,4,0,0,14,0,0,22,0,0,1,96,115,149,0,0,17,75,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_90,905,25,8,3,12,4,14,16,21,5,7,6,16,14,14,15,7,3,15,1,29,3,7,5,8,5,5,13,9,4,17,26,5,41,4,3,5,4,51,8,8,5,12,6,24,6,1,62,2,18,2,34,2,6,30,2,2,2,7,5,33,1,11,24,7,5,9,5,4,27,3,5,32,15,22,8
Cluster_91,537,0,5,0,14,0,3,1,2,1,3,2,1,2,4,1,1,1,5,0,10,4,5,0,1,4,5,5,8,0,3,14,0,23,7,0,7,1,44,13,2,1,6,3,11,0,1,62,0,2,0,50,5,0,33,0,0,1,1,0,43,1,1,35,2,0,1,2,0,34,6,1,28,2,3,0
Cluster_92,493,23,7,0,4,0,9,8,11,4,8,3,15,5,12,8,8,3,10,0,5,4,8,0,8,1,5,6,6,0,10,2,1,5,3,1,8,0,10,11,5,4,7,7,8,3,6,35,5,13,0,13,1,0,11,17,0,6,4,0,12,10,1,18,13,2,8,4,0,6,8,1,15,7,7,4
Cluster_93,507,14,76,0,1,1,17,0,5,15,0,1,14,0,1,50,0,6,27,0,3,1,0,0,3,0,0,11,12,0,0,10,0,12,0,0,6,0,5,0,0,1,0,2,2,0,0,105,0,5,0,23,0,0,0,0,0,0,2,0,9,0,0,5,0,0,1,4,0,22,0,0,6,26,2,1
Cluster_94,479,58,93,0,1,25,4,0,58,10,1,54,4,0,25,36,0,15,42,0,6,2,0,1,7,4,0,1,0,0,1,0,0,2,0,2,1,0,0,2,0,0,1,0,1,6,0,6,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0
Cluster_95,469,71,5,0,1,4,6,1,28,5,4,13,2,6,30,6,1,11,10,0,4,2,0,2,7,2,0,5,4,0,5,0,0,4,3,4,6,0,5,10,1,0,1,4,4,17,2,28,0,37,1,10,1,0,4,2,1,2,13,0,2,4,1,1,1,7,2,10,5,8,4,1,10,7,3,8
Cluster_96,526,54,14,0,19,0,29,24,31,8,21,5,36,16,22,27,21,15,8,0,10,6,9,0,9,6,5,8,3,0,4,5,0,7,4,0,4,0,11,4,3,1,5,1,3,8,0,7,0,5,0,6,0,0,3,3,0,0,6,0,2,0,0,6,1,0,1,1,0,0,5,0,5,1,3,5
Cluster_98,487,27,15,0,0,0,8,2,18,9,13,10,7,4,5,7,6,5,16,1,6,2,4,1,7,17,4,13,9,0,13,2,0,4,6,2,6,0,1,8,9,4,9,3,1,3,6,28,4,8,0,10,5,1,11,7,1,1,13,0,10,8,4,21,10,2,8,1,2,6,7,0,15,7,3,1
Cluster_99,428,9,0,4,14,2,5,8,5,1,10,1,2,14,5,2,21,0,3,1,1,4,21,1,2,2,10,3,4,1,7,7,0,13,2,0,3,0,16,31,1,3,9,2,4,0,1,9,0,4,2,18,2,6,11,1,1,0,2,1,12,0,4,18,9,2,7,2,4,12,8,3,26,1,4,4
Cluster_100,431,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0
Cluster_101,442,26,8,0,6,0,13,3,22,10,7,10,11,8,10,8,7,5,8,0,11,2,3,0,4,10,0,9,6,0,8,3,0,15,4,0,9,0,12,4,1,5,3,1,3,5,2,21,3,17,0,12,1,0,3,2,0,3,12,0,7,4,0,12,1,1,5,5,0,12,2,0,8,10,15,4
Cluster_102,461,12,5,0,3,0,3,0,6,1,4,8,4,2,4,10,3,1,5,0,3,22,5,0,5,3,0,3,9,0,7,9,0,7,8,0,11,0,16,18,3,5,13,1,8,1,5,23,0,5,0,20,4,0,15,10,0,2,7,0,20,0,0,23,12,0,1,4,0,17,3,0,24,16,18,4
Cluster_103,410,12,13,0,2,1,4,1,13,7,12,7,5,7,8,6,7,4,15,0,3,6,6,0,9,12,6,12,6,0,10,3,0,6,5,1,10,0,2,9,5,3,6,3,4,1,6,22,0,9,2,11,1,0,13,5,1,1,4,1,9,1,0,8,10,0,7,2,1,14,4,1,19,4,1,1
Cluster_104,395,11,13,3,49,1,3,17,9,3,14,0,10,14,0,6,24,1,17,5,45,16,25,2,5,7,13,2,2,0,3,7,0,5,2,1,4,0,7,2,3,1,3,0,6,0,0,9,0,4,0,1,0,0,2,0,1,0,1,0,1,1,0,1,0,1,0,1,0,2,0,0,2,2,4,1
Cluster_105,565,0,0,0,2,0,0,1,0,2,2,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,7,3,1,0,0,3,0,12,1,0,48,1,107,95,1,2,6,11,29,0,10,0,0,0,0,4,1,0,6,27,0,0,0,0,13,16,0,133,2,0,0,0,0,1,1,3,8,0,0,0
Cluster_107,363,0,0,0,13,0,0,12,0,0,9,0,0,12,0,0,4,0,0,1,4,6,18,0,0,1,3,0,0,0,3,4,1,25,7,0,10,0,72,13,0,0,7,7,35,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,19,9,0,46,0,0,0,0,0,0,0,9,0,0,0,0
Cluster_108,371,20,4,0,1,1,22,0,16,3,0,4,11,0,12,8,0,3,5,0,9,2,2,0,6,3,0,7,1,1,6,7,1,9,0,3,3,0,7,0,5,0,0,1,2,1,1,23,1,20,1,9,4,2,11,5,2,0,11,2,7,2,2,3,5,6,4,5,2,22,1,0,14,3,12,5
Cluster_109,365,0,7,0,20,0,0,0,1,0,0,1,0,0,0,4,1,0,10,0,46,6,0,0,1,0,0,5,5,0,2,27,0,41,0,0,3,0,34,0,1,0,0,0,9,0,0,6,0,0,0,23,0,0,17,0,0,0,0,0,28,0,0,18,0,0,1,0,0,15,0,0,30,3,0,0
Cluster_110,439,1,10,0,1,0,121,2,10,77,2,5,135,1,2,30,0,2,5,0,2,1,2,0,5,5,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,3,0,0,1,0,0,1,0,1,1,1,0,0
Cluster_111,353,38,13,0,11,0,10,2,17,0,5,11,6,4,14,8,4,1,8,0,7,4,3,0,5,5,1,5,2,0,5,2,0,12,0,1,3,0,18,9,4,0,1,1,1,2,0,0,0,6,0,15,0,0,8,0,0,1,6,0,15,1,0,12,4,0,0,3,1,9,3,0,13,8,2,3
Cluster_112,403,16,10,0,19,7,6,1,6,5,3,5,2,1,1,7,3,1,9,0,13,0,2,3,2,2,1,4,3,0,5,10,2,20,1,1,8,2,12,3,3,2,3,1,2,1,1,27,0,5,2,17,2,2,12,0,5,1,6,3,19,0,3,12,2,2,3,2,4,24,1,4,18,10,6,2
Cluster_113,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,1,0,0,0,0,0,0,0,3,2,0,22,2,106,27,0,0,17,13,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_116,298,18,45,0,5,2,14,0,8,13,0,2,9,0,9,29,3,3,15,0,1,0,0,1,13,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,66,0,12,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0
Cluster_117,300,12,8,3,16,2,7,15,5,5,11,2,8,14,5,4,9,5,3,3,10,3,11,0,1,6,7,1,1,2,4,2,1,3,1,0,4,0,12,3,1,0,3,2,4,0,1,10,0,4,0,6,2,1,4,2,1,0,2,2,8,2,0,4,3,1,4,0,4,5,1,1,9,0,1,3
Cluster_118,339,32,7,0,20,1,14,13,14,9,10,3,10,8,5,9,11,4,8,0,18,4,5,1,7,3,7,2,3,1,1,5,0,9,3,0,1,1,10,1,3,0,3,3,8,2,0,18,0,3,0,5,2,0,1,3,0,0,1,0,8,0,0,4,0,0,1,0,0,3,1,0,3,4,3,0
Cluster_119,278,41,8,0,11,2,19,9,10,5,5,2,4,2,6,5,9,3,6,1,8,1,4,0,6,1,2,5,0,0,1,7,0,3,0,2,0,0,2,1,3,1,1,0,0,6,0,19,0,16,0,3,0,0,0,0,2,1,7,0,1,0,0,1,0,0,0,9,0,2,1,0,2,5,0,7
Cluster_120,275,3,3,1,1,0,5,1,2,1,0,0,0,2,1,4,0,0,5,2,16,1,0,1,0,3,0,2,0,1,2,13,0,13,1,0,4,0,22,1,0,0,3,1,2,0,0,4,0,3,2,24,1,4,11,0,1,0,1,2,29,1,3,12,1,2,1,2,4,25,0,1,18,1,5,0
Cluster_121,274,0,1,10,43,4,3,2,3,7,0,3,0,0,4,5,1,2,0,19,27,2,17,12,2,11,9,0,0,7,2,2,5,17,0,9,1,1,19,0,1,0,5,2,3,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0
Cluster_122,273,0,3,2,13,0,6,16,0,5,10,0,8,15,1,11,8,0,8,1,19,5,13,0,5,4,4,7,6,2,6,3,0,21,4,0,4,0,9,7,4,3,9,1,9,0,0,14,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster_123,272,7,8,1,6,0,6,3,0,2,3,1,3,10,0,2,5,0,6,0,11,4,14,0,9,4,7,8,5,1,4,1,0,10,3,0,10,0,12,9,1,1,4,3,9,0,1,5,0,0,0,6,2,0,4,10,0,0,0,0,9,1,0,17,2,0,5,1,1,3,2,2,8,0,0,0
Cluster_124,298,18,20,0,8,0,13,5,8,10,4,4,7,8,7,5,2,1,7,1,7,1,2,0,9,1,2,5,4,1,4,12,0,3,2,1,1,0,6,4,6,4,3,0,3,5,0,15,2,6,0,5,0,1,3,0,0,0,3,1,3,0,0,2,0,1,7,6,1,6,0,0,4,4,5,9
Cluster_125,260,5,10,1,9,2,1,1,1,0,0,3,1,0,1,10,2,1,9,0,16,6,4,0,1,1,1,7,7,0,3,7,0,11,0,0,9,0,17,2,1,0,5,1,7,0,0,36,0,1,0,8,0,0,8,1,0,0,0,0,8,1,0,3,1,0,2,0,0,5,0,0,11,10,1,1
Cluster_126,294,4,7,0,0,0,6,1,3,3,0,1,4,1,2,2,0,0,7,1,6,5,0,0,2,5,0,4,1,0,8,6,0,2,1,0,3,0,13,25,0,1,8,1,6,0,10,9,0,5,0,6,6,0,24,9,0,1,2,0,5,1,0,21,21,0,1,1,0,6,5,0,14,2,5,1
Cluster_127,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,2,1,0,22,7,0,11,2,0,1,1,0,6,1,1,4,16,0,23,1,0,17,6,0,22,51,34,14
Cluster_128,319,0,1,2,11,10,1,0,3,2,0,1,0,0,2,1,1,2,1,6,24,3,11,4,3,3,4,2,1,5,3,5,3,19,1,2,0,3,32,1,0,0,4,3,2,0,0,7,0,0,2,11,0,1,12,0,2,0,0,3,28,0,3,19,1,4,0,0,1,26,1,1,15,0,0,0
Cluster_129,276,0,0,1,58,0,0,36,0,0,24,0,0,51,0,0,49,0,0,0,1,11,28,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_130,311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,4,0,0,0,21,19,4,53,0,0,0,0,2,5,1,6,15,29,0,6,0,4,29,30,1,51,10,8,1
Cluster_131,258,2,6,0,17,2,1,3,3,2,1,1,2,2,0,5,4,0,5,2,8,2,3,0,1,2,0,1,3,0,1,6,0,13,0,1,5,0,22,1,1,1,7,1,2,0,0,15,0,1,0,14,1,3,17,3,1,0,0,1,15,0,6,14,1,0,1,0,1,6,1,1,10,6,1,0
Cluster_132,249,0,0,0,5,0,0,2,2,0,3,0,0,1,0,3,1,0,0,0,10,1,1,0,0,1,0,0,1,1,1,4,0,5,0,0,0,0,9,3,0,0,1,0,5,0,3,2,0,0,1,13,1,0,54,0,0,0,0,0,23,0,4,25,4,0,0,0,1,9,2,0,46,1,0,0
Cluster_133,252,22,7,0,1,13,18,3,18,3,1,4,11,0,10,10,2,5,4,1,9,1,2,5,4,1,1,3,2,1,2,1,0,7,1,2,0,1,5,9,3,0,2,2,2,1,0,5,0,11,0,4,2,1,4,0,1,0,2,0,2,1,1,2,1,0,1,2,0,4,2,0,0,3,1,2
Cluster_134,251,1,2,0,11,0,3,3,2,4,2,2,1,1,2,2,3,0,1,0,20,1,2,0,2,5,3,1,2,0,2,15,0,18,2,0,9,0,17,8,0,1,2,2,16,1,0,9,0,2,0,6,0,1,6,2,1,0,2,1,13,2,0,12,1,0,0,0,0,12,1,0,7,2,1,1
Cluster_135,235,0,2,0,3,0,1,2,0,0,0,0,1,1,0,2,1,0,0,0,1,2,1,0,0,2,0,1,5,0,8,27,0,22,3,0,6,0,15,0,2,4,6,0,14,0,0,8,1,1,0,6,1,0,11,2,0,0,0,0,22,0,0,13,0,0,1,0,0,18,1,1,13,1,3,0
Cluster_136,242,2,1,1,2,1,2,4,3,0,9,1,0,5,0,0,3,1,0,0,7,3,3,0,0,1,4,1,1,0,1,1,0,16,2,0,2,0,29,11,3,0,9,0,12,0,1,2,0,1,0,4,1,1,7,7,0,0,1,0,9,1,1,42,3,0,3,3,1,3,1,5,1,1,1,1
Cluster_137,244,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Cluster_138,246,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,3,2,0,0,1,0,1,0,4,6,0,1,1,22,11,0,9,9,0,5,0,3,19,6,1,12,23,1,26,0,5,15,9,0,32,0,7,0
Cluster_139,223,4,3,0,6,1,2,7,2,4,5,1,2,9,1,1,12,0,3,0,9,1,5,0,4,0,2,0,7,0,8,14,0,10,2,0,0,0,4,1,2,2,2,1,1,0,0,11,1,1,0,17,1,0,5,2,0,1,2,0,11,0,0,4,0,0,6,1,0,6,2,0,9,2,1,2
Cluster_140,202,10,3,0,2,0,3,5,4,1,13,1,3,7,4,0,12,1,0,0,2,8,54,0,1,11,19,1,1,0,0,0,0,0,1,0,0,0,1,5,0,0,5,1,3,0,0,2,0,3,0,3,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,0,1,0,0,3,0,0,0
Cluster_141,200,0,2,0,4,0,0,0,1,0,0,0,1,0,0,3,0,1,2,0,3,1,0,0,1,3,0,1,5,0,1,3,0,4,0,0,19,0,45,13,0,0,0,2,16,0,1,14,0,0,0,5,1,1,1,2,0,0,0,0,3,0,1,19,1,0,0,1,0,1,1,1,13,1,1,1
Cluster_142,198,4,4,2,3,0,2,8,1,3,8,1,3,1,2,0,3,1,1,1,0,4,1,0,2,4,2,3,2,0,3,7,0,3,1,0,3,0,7,9,5,2,5,0,6,0,2,13,0,8,1,6,2,0,8,2,1,2,3,0,7,1,0,3,3,0,4,1,1,2,2,0,4,1,4,0
